Project Name,Test-Run,Test-Case,Status,TC-Defect
OmniStack,PSI7 Sprint 2 - Stretch Cluster,OMNI-707-Real System: Verify that stretched cluster can be shrunk to smaller size with lesser nodes from 2/2+0 to 1/1+0,Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-3382: Use svt-zone-assign to add node(s) to a zone, so that I can configure stretched clusters",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-18161-Real System: Verify that zone status of a backup is known immediately without having to wait for 1 hour, so that I can assess the impact and prepare for DR",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,OMNI-18784-Flametest: Verify that the zone status of backup is shown immediately post zone realize of reassignments,Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-947: Verify which VMs will not survive zone failover in a given cluster or datacenter, so that I can configure my zones correctly",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-813: Verify that the system self-heals when migrating from a legacy configuration to a zoned cluster configuration, so that my VMs are protected from single zone failures",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,OMNI-12586: Convert a Stretched Cluster to Non-Stretched Cluster without any data migrations,Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-433: Verify that new backup hive replicas are created in different stretched cluster zones, so that my backups could survive zone failover",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMN-1104: Add odd number of nodes (1) to my stretch cluster, so that I can expand it",Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,OMNI-707: Verify that stretched cluster can be shrunk to smaller size with lesser nodes from 2/2+0 to 1/1+0,Passed,NA
OmniStack,PSI7 Sprint 2 - Stretch Cluster,"OMNI-2798: Verify that I get an error when I realize a partial node assignment in a 4+0 configuration, so that I am prevented from misconfiguring stretched clusters",Passed,NA
