,FixVersions,ReleseThemeIssueType,ReleaseThemeId,ReleseThemeSummary,EpicIssueType,EpicId,EpicSummary
0,Omnistack 3.7.5 (PSI 13),Release Theme,PMB-1197,Dynamic Throttling for Gen10 6000 series models (vSphere Only),Epic,VDI-1417,EUC Sizing Tool for HPE Simplivity 380
1,Omnistack 3.7.5 (PSI 13),Release Theme,PMB-1197,Dynamic Throttling for Gen10 6000 series models (vSphere Only),Epic,VDI-1653,VMware Horizon 7.3.1 on HPE SimpliVity 380 Gen 10 Reference Architecture
2,Omnistack 3.7.3 (PSI 12),Release Theme,PMB-1067,Spike: SW RAID Stack,,,
3,Omnistack 3.7.3 (PSI 12),Release Theme,PMB-982,Dynamic Throttling for Gen10 4000 series models (vSphere Only),Epic,VDI-1417,EUC Sizing Tool for HPE Simplivity 380
4,Omnistack 3.7.3 (PSI 12),Release Theme,PMB-959,"Gen-10 DL380 ""Value Flash"" XLarge for VMware",,,
5,Omnistack 3.7.3 (PSI 12),Release Theme,PMB-944,SHA-1 to SHA-2 Update - Torch,,,
6,Torch GA,Release Theme,PMB-944,SHA-1 to SHA-2 Update - Torch,,,
7,,,PMB-1154,,Epic,VDI-1489,Enterprise Container-as-a-Service MVI1
8,,,PMB-1137,,Epic,VDI-1488,VDI testing and analysis for Apollo
9,,,PMB-1104,,Epic,VDI-1456,VMware Horizon 7.3.1 on HPE SimpliVity 380 Gen 10 Reference Architecture
